date,open,high,low,close,volume
2021-07-01 09:15:00+05:30,209.6,241,204,228.55,77900
2021-07-01 09:30:00+05:30,228.2,234.7,203.5,211.9,49650
2021-07-01 09:45:00+05:30,211.9,213.45,207,208,27450
2021-07-01 10:00:00+05:30,208,233.85,203.05,228.05,43400
2021-07-01 10:15:00+05:30,228.05,230,223.3,225,68100
2021-07-01 10:30:00+05:30,225,225,211.3,215.5,89350
2021-07-01 10:45:00+05:30,215.25,219.7,210.4,219.05,56350
2021-07-01 11:00:00+05:30,219.05,226.25,218.9,225.05,53450
2021-07-01 11:15:00+05:30,224.95,228.5,221.4,221.5,36950
2021-07-01 11:30:00+05:30,221.05,223.2,216.2,223.2,39600
2021-07-01 11:45:00+05:30,223.2,225.2,219.4,223.3,30300
2021-07-01 12:00:00+05:30,223.3,226.85,221.45,223.65,57400
2021-07-01 12:15:00+05:30,223.65,226.15,220.3,221.25,27500
2021-07-01 12:30:00+05:30,221.25,228.7,216.9,227.5,63800
2021-07-01 12:45:00+05:30,227.2,236,226.85,231.7,47200
2021-07-01 13:00:00+05:30,231.7,241,230,237.6,54000
2021-07-01 13:15:00+05:30,237.6,244.95,211.95,242.65,40100
2021-07-01 13:30:00+05:30,213.25,242.35,212.95,239.8,58200
2021-07-01 13:45:00+05:30,239.8,240,219.35,226.05,84650
2021-07-01 14:00:00+05:30,226.05,229.85,216.5,226.7,65000
2021-07-01 14:15:00+05:30,227.55,229,222,224.35,45500
2021-07-01 14:30:00+05:30,224.35,225.4,215.55,222,72750
2021-07-01 14:45:00+05:30,222,222,214,217.55,69650
2021-07-01 15:00:00+05:30,217.55,242.45,208,215.1,58300
2021-07-01 15:15:00+05:30,215.1,219.85,212.6,219.85,154900
2021-07-02 09:15:00+05:30,220.4,226.15,197,226,141050
2021-07-02 09:30:00+05:30,198.8,229.45,198.15,227.1,19400
2021-07-02 09:45:00+05:30,226.05,226.95,215.35,219.95,9400
2021-07-02 10:00:00+05:30,219.95,224.1,195,201.95,64850
2021-07-02 10:15:00+05:30,201.95,229.55,197.55,198.45,38450
2021-07-02 10:30:00+05:30,226,226.9,196.8,219.1,12100
2021-07-02 10:45:00+05:30,219.1,219.1,208.55,214.5,42500
2021-07-02 11:00:00+05:30,214.5,217.7,213.6,215,18450
2021-07-02 11:15:00+05:30,215,219.4,213,217,4800
2021-07-02 11:30:00+05:30,217,220.75,214.35,219,6500
2021-07-02 11:45:00+05:30,192.5,221,192.5,195.7,25650
2021-07-02 12:00:00+05:30,196.1,221.25,193.2,195,35500
2021-07-02 12:15:00+05:30,195,201.55,195,200.2,64500
2021-07-02 12:30:00+05:30,199.95,202.95,194.45,200.7,99800
2021-07-02 12:45:00+05:30,200.7,210.45,197.75,209.7,133400
2021-07-02 13:00:00+05:30,210.25,214,204.9,207.7,126300
2021-07-02 13:15:00+05:30,207.7,209.95,198.15,203,78550
2021-07-02 13:30:00+05:30,203.35,207.65,201.15,207.05,50050
2021-07-02 13:45:00+05:30,206.6,207,189.3,190.05,109650
2021-07-02 14:00:00+05:30,218.4,218.4,185.65,192,46050
2021-07-02 14:15:00+05:30,192,204.6,184.85,203,75200
2021-07-02 14:30:00+05:30,203,205.9,195,198.5,98500
2021-07-02 14:45:00+05:30,199.3,206,196.4,199.1,86450
2021-07-02 15:00:00+05:30,199.1,211.5,198,210.5,165550
2021-07-02 15:15:00+05:30,210.35,213.4,183.7,187.95,61650
2021-07-05 09:15:00+05:30,184.2,254,170,196.8,497700
2021-07-05 09:30:00+05:30,196.65,201.85,196.65,199.3,199750
2021-07-05 09:45:00+05:30,199.5,204.65,198.8,201.5,128550
2021-07-05 10:00:00+05:30,201.75,202.3,193.7,200,88300
2021-07-05 10:15:00+05:30,200,206.8,177.9,206.35,102400
2021-07-05 10:30:00+05:30,206,210.5,179,206.9,95550
2021-07-05 10:45:00+05:30,206.9,211.4,181.15,183,18700
2021-07-05 11:00:00+05:30,183,210.4,181.65,208.8,29700
2021-07-05 11:15:00+05:30,208.5,210.3,180.5,208.1,26850
2021-07-05 11:30:00+05:30,208.1,210.4,180.65,182.95,35400
2021-07-05 11:45:00+05:30,210.1,211.6,182.3,183.35,36500
2021-07-05 12:00:00+05:30,183.35,185.35,182.4,183.55,12100
2021-07-05 12:15:00+05:30,183.55,210.3,182.6,196.45,179750
2021-07-05 12:30:00+05:30,196.45,198.5,190.6,190.6,104450
2021-07-05 12:45:00+05:30,189.9,192,185.55,189.75,124200
2021-07-05 13:00:00+05:30,189.75,197.9,188.15,197.45,71100
2021-07-05 13:15:00+05:30,197.3,197.9,194.75,195.75,48250
2021-07-05 13:30:00+05:30,195.5,203.65,172.4,174.25,76100
2021-07-05 13:45:00+05:30,174.55,203.3,174.05,176.25,32300
2021-07-05 14:00:00+05:30,176.25,181.25,174.35,176.9,10350
2021-07-05 14:15:00+05:30,176.9,203.05,171.9,194.5,61450
2021-07-05 14:30:00+05:30,194.5,199.95,170,173.75,32000
2021-07-05 14:45:00+05:30,173.75,201,171.15,174.8,12750
2021-07-05 15:00:00+05:30,174.95,182.4,173,182.35,17100
2021-07-05 15:15:00+05:30,182.1,182.1,178.15,182,57200
2021-07-06 09:15:00+05:30,165.05,185,162.05,177.85,53050
2021-07-06 09:30:00+05:30,177.85,184.8,177.85,183.05,25700
2021-07-06 09:45:00+05:30,183.05,187.5,181.95,186.6,15150
2021-07-06 10:00:00+05:30,186.6,188.85,181.1,184.3,16500
2021-07-06 10:15:00+05:30,184.3,184.55,179,182.3,13600
2021-07-06 10:30:00+05:30,182.3,187.15,181.45,186.5,9100
2021-07-06 10:45:00+05:30,186.5,188.75,185.05,187.8,9000
2021-07-06 11:00:00+05:30,187.8,189.15,160.8,166.25,60400
2021-07-06 11:15:00+05:30,166.25,177.85,163.5,173.85,137100
2021-07-06 11:30:00+05:30,173.7,181.5,172,180.55,88900
2021-07-06 11:45:00+05:30,180.65,182.25,177.15,181.25,89150
2021-07-06 12:00:00+05:30,181.25,190.55,179.95,187.25,92150
2021-07-06 12:15:00+05:30,187.25,190.35,181.75,183,79850
2021-07-06 12:30:00+05:30,183,183.25,173.9,176.2,76950
2021-07-06 12:45:00+05:30,176.2,179.9,171.1,175,83850
2021-07-06 13:00:00+05:30,175,181.45,170.25,175.6,82800
2021-07-06 13:15:00+05:30,175.6,179.75,173.2,179.75,47550
2021-07-06 13:30:00+05:30,179.75,181.8,176.15,181.4,34450
2021-07-06 13:45:00+05:30,181.4,188.25,177,184.9,92950
2021-07-06 14:00:00+05:30,185.15,188.45,178.85,182.55,52100
2021-07-06 14:15:00+05:30,182.55,205.85,175.95,190,44250
2021-07-06 14:30:00+05:30,190,190,172.05,180.9,45000
2021-07-06 14:45:00+05:30,180.9,190,178.75,186.95,41300
2021-07-06 15:00:00+05:30,186.95,201.25,165.3,188.4,135400
2021-07-06 15:15:00+05:30,187.65,196.9,187.1,194.5,162100
2021-07-07 09:15:00+05:30,181.95,186.15,159.45,169.25,188750
2021-07-07 09:30:00+05:30,170,177,167.1,170,33800
2021-07-07 09:45:00+05:30,197.35,197.35,179.5,188.05,158800
2021-07-07 10:00:00+05:30,187.7,189.15,182,186.45,109800
2021-07-07 10:15:00+05:30,186.05,193.3,162.95,192.25,106950
2021-07-07 10:30:00+05:30,192.25,192.35,184,187,69750
2021-07-07 10:45:00+05:30,187.1,187.45,179.85,182.5,114200
2021-07-07 11:00:00+05:30,182.45,192.7,164.9,166.6,67350
2021-07-07 11:15:00+05:30,166.6,172,164.35,166.65,26800
2021-07-07 11:30:00+05:30,166.65,194,164.9,166.35,14250
2021-07-07 11:45:00+05:30,166.35,173.75,166.35,169.1,11300
2021-07-07 12:00:00+05:30,169.1,173.55,166.35,170.65,6900
2021-07-07 12:15:00+05:30,170.65,174.15,168,173.9,8150
2021-07-07 12:30:00+05:30,173.9,177.4,161.45,168,14050
2021-07-07 12:45:00+05:30,168,196.7,165.85,194.05,9300
2021-07-07 13:00:00+05:30,193.95,194.85,164.95,169.5,47950
2021-07-07 13:15:00+05:30,169.5,194.45,166.25,193.7,14550
2021-07-07 13:30:00+05:30,166.25,195.65,164.25,166.45,74350
2021-07-07 13:45:00+05:30,166.45,176.2,165.9,175,19850
2021-07-07 14:00:00+05:30,175,181,172,178.3,27150
2021-07-07 14:15:00+05:30,179.3,179.5,173.25,176.8,18000
2021-07-07 14:30:00+05:30,176.8,185.65,174,174,22150
2021-07-07 14:45:00+05:30,174,175.25,167.85,173.1,14000
2021-07-07 15:00:00+05:30,173.1,187.4,157.5,161.7,106300
2021-07-07 15:15:00+05:30,161.7,172.2,161.7,170.55,197700
2021-07-08 09:15:00+05:30,183.85,190,157,162,132300
2021-07-08 09:30:00+05:30,189.75,189.75,157.55,161,51150
2021-07-08 09:45:00+05:30,188.3,189.45,172,176.3,30350
2021-07-08 10:00:00+05:30,176.3,178.9,173.4,175.85,10500
2021-07-08 10:15:00+05:30,175.85,176.25,163.2,163.85,33800
2021-07-08 10:30:00+05:30,163.85,165.7,158.55,162.4,17700
2021-07-08 10:45:00+05:30,163.2,169.7,163.2,168,15750
2021-07-08 11:00:00+05:30,168,168.9,166.05,167.55,7700
2021-07-08 11:15:00+05:30,167.6,172.55,166.95,171.35,9950
2021-07-08 11:30:00+05:30,170.7,189.65,162.1,184.7,38300
2021-07-08 11:45:00+05:30,184.85,186.75,181.6,183,154300
2021-07-08 12:00:00+05:30,183,183.6,175.6,180.7,229550
2021-07-08 12:15:00+05:30,180,184.4,172.2,181.25,232750
2021-07-08 12:30:00+05:30,181.25,205.95,173.5,179.55,212900
2021-07-08 12:45:00+05:30,179,204.5,174.1,198.5,71950
2021-07-08 13:00:00+05:30,198.9,202.65,193.6,194.8,42550
2021-07-08 13:15:00+05:30,194.1,200.7,187,199.7,51250
2021-07-08 13:30:00+05:30,199.7,200.5,192.05,199.7,17950
2021-07-08 13:45:00+05:30,199.7,211.4,179.3,205.9,56000
2021-07-08 14:00:00+05:30,205.9,211.85,182.45,210.6,164800
2021-07-08 14:15:00+05:30,184.5,211.4,183.35,209.45,151550
2021-07-08 14:30:00+05:30,208.75,211.95,200,207.55,225550
2021-07-08 14:45:00+05:30,208,213.65,183.5,210.6,189400
2021-07-08 15:00:00+05:30,210.8,215.55,181.7,185,126800
2021-07-08 15:15:00+05:30,185,206.8,178,178.2,52750
2021-07-09 09:15:00+05:30,203.85,215.5,177.6,196,61750
2021-07-09 09:30:00+05:30,196.9,202,189.75,193.1,26400
2021-07-09 09:45:00+05:30,193.6,203,172.65,201.15,33350
2021-07-09 10:00:00+05:30,174.2,205.1,173.9,203.85,113750
2021-07-09 10:15:00+05:30,203.85,203.85,174.55,192.7,229400
2021-07-09 10:30:00+05:30,193,207.4,173.4,177.05,189050
2021-07-09 10:45:00+05:30,204.8,206.85,189,189,144600
2021-07-09 11:00:00+05:30,189.05,190.45,180.8,184.7,165000
2021-07-09 11:15:00+05:30,213,213,202.55,205.1,7250
2021-07-09 11:30:00+05:30,205.1,212.4,199.25,210.9,14450
2021-07-09 11:45:00+05:30,182.85,213.35,181.95,209,61750
2021-07-09 12:00:00+05:30,209.3,213,179.95,182.65,25750
2021-07-09 12:15:00+05:30,183.2,211.35,181.15,201.75,19650
2021-07-09 12:30:00+05:30,201.75,211.85,181,181.65,70000
2021-07-09 12:45:00+05:30,182,196.7,181.35,181.5,157950
2021-07-09 13:00:00+05:30,181.65,213.85,179.6,183.7,42200
2021-07-09 13:15:00+05:30,183.7,214.7,181.1,210.6,19100
2021-07-09 13:30:00+05:30,210.6,215,180.4,213.1,61250
2021-07-09 13:45:00+05:30,213.1,213.5,182.2,182.75,60300
2021-07-09 14:00:00+05:30,183.05,197.85,182.6,192.95,137750
2021-07-09 14:15:00+05:30,193.85,195.6,186.4,189.7,135400
2021-07-09 14:30:00+05:30,190.15,211.45,176.55,187,101950
2021-07-09 14:45:00+05:30,186.8,194.25,185.95,190.9,152900
2021-07-09 15:00:00+05:30,190.9,192.3,183.55,188.55,137650
2021-07-09 15:15:00+05:30,188.55,191.1,185.25,186.75,156150
2021-07-12 09:15:00+05:30,170.3,189.3,152,181,123450
2021-07-12 09:30:00+05:30,153.85,181.95,152.85,172.7,62800
2021-07-12 09:45:00+05:30,172.7,179.95,149.15,178.8,30050
2021-07-12 10:00:00+05:30,178.8,181.45,174.75,181.45,20200
2021-07-12 10:15:00+05:30,154,185.55,153.75,156.8,118950
2021-07-12 10:30:00+05:30,157.05,162,156.9,159.65,144250
2021-07-12 10:45:00+05:30,160,186,155.8,157.6,57150
2021-07-12 11:00:00+05:30,157.6,186.45,157.05,183,28350
2021-07-12 11:15:00+05:30,183,186,156.55,183.35,17600
2021-07-12 11:30:00+05:30,183.35,186.25,156.65,183.4,70100
2021-07-12 11:45:00+05:30,183.85,184.1,154.4,182.05,13500
2021-07-12 12:00:00+05:30,182.05,185.15,180.95,181.15,6950
2021-07-12 12:15:00+05:30,181.15,182.95,173.4,178.8,11850
2021-07-12 12:30:00+05:30,178.8,180,173.35,174.9,11050
2021-07-12 12:45:00+05:30,174.9,178.35,172.9,176.7,10650
2021-07-12 13:00:00+05:30,176.7,184.55,151.6,172,118700
2021-07-12 13:15:00+05:30,202.4,202.4,159.1,174.05,276450
2021-07-12 13:30:00+05:30,174.45,186.25,170.95,182.9,148250
2021-07-12 13:45:00+05:30,182.9,183.6,171.1,175.4,82900
2021-07-12 14:00:00+05:30,175.4,178.85,166.8,169.95,114750
2021-07-12 14:15:00+05:30,168.95,175.05,163.9,170.55,109650
2021-07-12 14:30:00+05:30,170.55,193.9,164.9,179.85,72150
2021-07-12 14:45:00+05:30,179.85,189.95,158.75,164.05,44300
2021-07-12 15:00:00+05:30,165,176.5,165,167.05,221500
2021-07-12 15:15:00+05:30,167.05,171.2,165.05,167,154750
2021-07-13 09:15:00+05:30,165,185,163.15,171.55,60400
2021-07-13 09:30:00+05:30,171.55,172,163.65,169.7,22900
2021-07-13 09:45:00+05:30,169.7,171,166.45,171,17650
2021-07-13 10:00:00+05:30,171,173.9,164.45,168.05,19200
2021-07-13 10:15:00+05:30,168.05,172.2,167.45,171.2,16450
2021-07-13 10:30:00+05:30,171.45,172.55,166.7,168.35,13700
2021-07-13 10:45:00+05:30,168.35,169.25,161,166,36400
2021-07-13 11:00:00+05:30,166.4,171,165.3,169.85,14650
2021-07-13 11:15:00+05:30,169.85,174.1,169,171.5,13900
2021-07-13 11:30:00+05:30,171.5,176,170.6,176,26500
2021-07-13 11:45:00+05:30,176.95,178.45,148.85,159.6,351300
2021-07-13 12:00:00+05:30,159.8,162,156.1,162,154000
2021-07-13 12:15:00+05:30,161.85,162.35,155.15,159.15,163750
2021-07-13 12:30:00+05:30,158.95,162.45,150.9,156,150900
2021-07-13 12:45:00+05:30,155.4,164,154.65,163,113850
2021-07-13 13:00:00+05:30,163,173.2,161.55,171,226950
2021-07-13 13:15:00+05:30,170.9,171.5,160.15,162,154000
2021-07-13 13:30:00+05:30,162,167.95,161.05,165.3,101100
2021-07-13 13:45:00+05:30,165.3,170.75,161.9,169.35,114900
2021-07-13 14:00:00+05:30,169.35,171.5,156.45,164.7,180000
2021-07-13 14:15:00+05:30,164.75,168.95,162.05,163.3,228350
2021-07-13 14:30:00+05:30,163.15,164.95,156.65,161.1,247350
2021-07-13 14:45:00+05:30,161.1,166.4,159.1,162.35,315450
2021-07-13 15:00:00+05:30,162.05,173.6,162.05,172.95,260550
2021-07-13 15:15:00+05:30,172.55,172.75,164.1,168.55,277950
2021-07-14 09:15:00+05:30,159.2,161.05,147.2,150.45,304250
2021-07-14 09:30:00+05:30,150.1,175.65,144.5,150.35,306150
2021-07-14 09:45:00+05:30,150.4,177.4,149,175,138050
2021-07-14 10:00:00+05:30,175,177.15,147.7,152.5,129250
2021-07-14 10:15:00+05:30,152.5,159.8,150.2,158.5,129900
2021-07-14 10:30:00+05:30,158.45,173.5,158,172,255850
2021-07-14 10:45:00+05:30,172.8,178.4,146.1,146.7,139000
2021-07-14 11:00:00+05:30,146.7,175.35,146,152.7,93450
2021-07-14 11:15:00+05:30,152.7,152.95,147.4,149.4,20600
2021-07-14 11:30:00+05:30,149.4,150.35,143.25,145.7,15250
2021-07-14 11:45:00+05:30,145.7,149.95,144.25,149.7,9300
2021-07-14 12:00:00+05:30,149.7,151.2,144.6,147.4,16650
2021-07-14 12:15:00+05:30,147.4,155,147.4,151.35,25150
2021-07-14 12:30:00+05:30,151.35,158.85,149,158.8,63400
2021-07-14 12:45:00+05:30,158.8,165,158.35,163.9,75750
2021-07-14 13:00:00+05:30,163.9,172,143.1,146,50500
2021-07-14 13:15:00+05:30,173.95,174,158.35,161.2,28000
2021-07-14 13:30:00+05:30,161.2,161.3,151.25,154.85,17650
2021-07-14 13:45:00+05:30,155.55,165.35,146.15,163.7,39200
2021-07-14 14:00:00+05:30,163.7,163.85,156,159.05,9650
2021-07-14 14:15:00+05:30,159.05,162.3,155.25,155.4,16950
2021-07-14 14:30:00+05:30,155.4,163.25,152.55,162.15,18950
2021-07-14 14:45:00+05:30,162.75,165.2,160.65,163.55,15350
2021-07-14 15:00:00+05:30,163.55,166.1,158.8,160.55,35300
2021-07-14 15:15:00+05:30,160.55,160.55,149.65,151.4,36300
2021-07-15 09:15:00+05:30,138.2,144.25,127.55,141.75,245950
2021-07-15 09:30:00+05:30,142,144,137.7,143.25,154600
2021-07-15 09:45:00+05:30,143.2,148.5,141.45,143.35,157950
